Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,Avg Host Node3 CPU Usage,Host Node3 CPU 0 Usage,Host Node3 CPU 1 Usage,Avg Host Node4 CPU Usage,Host Node4 CPU 0 Usage,Host Node4 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,Acme-Web CPU Usage,MongoDB CPU Usage,StressNG 1 CPU Usage,StressNG 2 CPU Usage,StressNG 3 CPU Usage,StressNG 4 CPU Usage
23.6,24.8,22.4,33.0,33.0,33.0,35.8,39.8,31.8,34.1,38.6,29.6,0.0151,0.107,0.0354,0.0798,0.065,0.128,0.0113,0.0474,0.0722,0.0385,0.682,0.0153,80.3,74.0,98,46,25,8.33,1.33,0.333,14.5,1.0,1.33,2.0,0.667,1.33,1.33,0.0,3.0,1.67,1.33,23.7,0.00365,0.178,0.0,0.0,0.0,0.0
24.0,22.4,25.6,30.9,30.2,31.6,24.9,21.8,28.0,34.1,36.8,31.4,0.017,0.131,0.0373,0.103,0.0847,0.148,0.0116,0.0634,0.0892,0.0386,0.682,0.0182,74.5,67.0,81,34,25,4.17,0.833,0.333,14.5,0.5,1.0,1.0,0.5,0.667,0.667,0.167,1.83,1.0,0.667,13.3,0.00364,0.17,0.0,0.0,0.0,0.0
25.0,25.0,25.0,30.4,30.8,30.0,23.7,20.6,26.8,34.5,33.8,35.2,0.017,0.16,0.0367,0.123,0.114,0.175,0.0126,0.09,0.102,0.0376,0.684,0.0192,60.9,45.0,77,24,25,0.3,0.6,0.2,0.4,0.3,0.3,0.5,0.2,0.2,0.2,0.4,0.6,0.1,0.1,4.4,0.00301,0.183,3.93,0.0,0.0,0.0
24.5,29.4,19.6,32.5,32.2,32.8,25.8,22.0,29.6,33.0,27.1,38.8,0.0218,0.192,0.0376,0.141,0.141,0.201,0.0127,0.114,0.12,0.0395,0.685,0.021,55.0,39.0,80,26,25,0.3,0.7,0.2,0.6,0.4,0.3,0.7,0.2,0.2,0.0,0.8,0.8,0.2,0.3,5.7,0.00346,0.168,5.37,0.0,0.0,0.0
24.1,21.4,26.8,32.6,31.0,34.2,24.9,21.8,28.0,32.1,34.4,29.8,0.0213,0.213,0.0392,0.157,0.168,0.219,0.0142,0.136,0.136,0.0395,0.685,0.0233,53.4,36.0,80,25,25,0.4,0.5,0.3,0.4,0.3,0.5,0.4,0.3,0.2,0.1,0.7,0.6,0.3,0.6,5.6,0.00346,0.187,6.72,0.0,0.0,0.0
23.5,22.0,25.0,33.5,37.6,29.4,25.3,25.4,25.2,31.2,30.7,31.7,0.0244,0.248,0.0384,0.182,0.191,0.251,0.0142,0.158,0.149,0.0376,0.686,0.0245,49.4,33.0,71,24,25,0.7,0.3,0.2,0.3,0.5,0.3,0.5,0.7,0.4,0.2,0.5,0.6,0.4,0.3,5.9,0.00409,0.174,4.19,0.0,0.0,0.0
25.2,29.4,21.0,31.1,32.6,29.6,24.7,20.8,28.6,35.9,37.8,34.0,0.025,0.279,0.0391,0.195,0.208,0.277,0.0135,0.175,0.163,0.0374,0.688,0.0274,46.8,31.0,83,24,25,0.6,0.4,0.5,0.3,0.5,0.3,0.0,0.4,0.4,0.6,0.1,0.7,0.3,0.3,5.4,0.00336,0.184,2.75,0.0,0.0,22.2
24.9,21.2,28.6,32.5,32.4,32.6,25.0,22.4,27.6,31.9,29.0,34.8,0.034,0.309,0.0406,0.238,0.231,0.316,0.0159,0.208,0.192,0.0395,0.689,0.0329,46.0,30.0,100,23,25,0.4,0.5,0.5,0.1,0.2,0.3,0.2,0.3,0.5,0.8,0.3,0.6,0.2,0.4,5.3,0.004,0.17,4.18,0.0,0.0,24.9
23.2,27.0,19.4,30.5,28.6,32.4,24.9,23.6,26.2,33.5,24.8,42.2,0.0374,0.343,0.0423,0.267,0.265,0.342,0.0175,0.236,0.215,0.0396,0.691,0.0347,43.6,28.0,90,21,25,0.1,0.6,0.4,0.4,0.3,0.3,0.4,0.7,0.6,0.5,0.7,1.5,0.7,0.3,7.5,0.00334,0.178,4.25,0.0,0.0,27.3
25.4,27.6,23.2,32.4,30.2,34.6,24.3,24.8,23.8,36.5,40.0,33.0,0.0374,0.365,0.0411,0.287,0.285,0.377,0.0175,0.246,0.222,0.0385,0.692,0.0351,42.1,27.0,62,19,25,0.1,0.7,0.2,0.1,0.2,0.5,0.3,0.2,0.5,0.2,0.9,1.1,0.4,0.5,5.9,0.0034,0.164,5.59,0.0,0.0,8.97
