"Time","Avg Host Node1 CPU Usage","Host Node1 CPU 0 Usage","Host Node1 CPU 1 Usage","Avg Host Node2 CPU Usage","Host Node2 CPU 0 Usage","Host Node2 CPU 1 Usage","Avg Host Node3 CPU Usage","Host Node3 CPU 0 Usage","Host Node3 CPU 1 Usage","checkoutservice CPU Usage","currencyservice CPU Usage","emailservice CPU Usage","frontend 1 CPU Usage","frontend 2 CPU Usage","loadgenerator CPU Usage","paymentservice CPU Usage","productcatalogservice CPU Usage","recommendationservice 1 CPU Usage","recommendationservice 2 CPU Usage","redis-cart CPU Usage","shippingservice CPU Usage","Average Response Time","Median Response Time","Current Response Time Percentile 95","Current Response Time Percentile 50","Number of Users","Host Node 1 Mem Usage","Host Node 2 Mem Usage","Host Node 3 Mem Usage","Host Node 1 Mem Total","Host Node 3 Mem Total","Host Node 2 Mem Total","cartservice Mem Usage","checkoutservice Mem Usage","currencyservice Mem Usage","emailservice Mem Usage","frontend 1 Mem Usage","frontend 2 Mem Usage","loadgenerator Mem Usage","paymentservice Mem Usage","productcatalogservice Mem Usage","recommendationservice 1 Mem Usage","recommendationservice 2 Mem Usage","redis-cart Mem Usage","shippingservice Mem Usage","locust_requests_num_requests","current_rps GET /","current_rps GET /cart","current_rps GET /product/0PUK6V6EV0","current_rps GET /product/1YMWWN1N4O","adservice CPU Usage","current_rps GET /product/2ZYFJ3GM2N","current_rps GET /product/66VCHSJNUP","current_rps GET /product/6E92ZMYYFZ","current_rps GET /product/9SIQT8TOJO","current_rps GET /product/L9ECAV7KIM","current_rps GET /product/LS4PSXUNUM","current_rps GET /product/OLJCESPC7Z","current_rps POST /cart","current_rps POST /cart/checkout","current_rps POST /setCurrency","current_rps Aggregated","StressNG 1 CPU Usage","StressNG 2 CPU Usage","StressNG 3 CPU Usage"
2024-10-02 12:36:00,22.9,25.6,20.2,26.5,29.8,23.2,22.4,24.0,20.8,0.00763,0.0121,0.0330,0.00671,0.00795,0.0284,0.0164,0.00652,0.0405,0.0353,0.227,0.0102,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.5 Mil,41.3 Mil,7.21 Mil,7.28 Mil,43.3 Mil,23.3 Mil,8.01 Mil,39.6 Mil,39.6 Mil,3.28 Mil,7.84 Mil,699,0.300,0.300,0.200,0.400,0.0448,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
2024-10-02 12:36:05,21.7,26.4,17.0,28.4,28.2,28.6,22.6,22.4,22.8,0.00742,0.0111,0.0332,0.00718,0.00824,0.0270,0.0156,0.00652,0.0398,0.0352,0.227,0.0102,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.5 Mil,41.3 Mil,7.21 Mil,7.27 Mil,43.3 Mil,23.3 Mil,8.01 Mil,39.6 Mil,39.6 Mil,3.28 Mil,7.84 Mil,699,0.300,0.300,0.200,0.400,0.0463,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
2024-10-02 12:36:10,23.2,25,21.4,27.6,28.4,26.8,22.3,19.4,25.2,0.00761,0.0120,0.0331,0.00684,0.00723,0.0283,0.0165,0.00701,0.0396,0.0355,0.228,0.0109,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.6 Mil,41.3 Mil,7.21 Mil,7.28 Mil,43.3 Mil,23.4 Mil,8.01 Mil,39.6 Mil,39.6 Mil,3.28 Mil,7.86 Mil,699,0.300,0.300,0.200,0.400,0.0461,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
2024-10-02 12:36:15,22.5,25,20,26.8,22.4,31.2,23.1,26.0,20.2,0.00761,0.0120,0.0329,0.00722,0.00779,0.0280,0.0157,0.00701,0.0397,0.0355,0.229,0.0109,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.7 Mil,41.3 Mil,7.21 Mil,7.27 Mil,43.3 Mil,23.4 Mil,8.01 Mil,39.6 Mil,39.6 Mil,3.28 Mil,7.86 Mil,699,0.300,0.300,0.200,0.400,0.0434,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
2024-10-02 12:36:20,23.0,24.8,21.2,26.3,25.8,26.8,22.4,22.0,22.8,0.00705,0.0121,0.0329,0.00698,0.00782,0.0279,0.0157,0.00755,0.0395,0.0354,0.226,0.0110,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.7 Mil,41.3 Mil,7.21 Mil,7.27 Mil,43.3 Mil,23.5 Mil,8.01 Mil,39.6 Mil,39.6 Mil,3.41 Mil,7.86 Mil,699,0.300,0.300,0.200,0.400,0.0450,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
2024-10-02 12:36:25,21.7,24.2,19.2,26.8,30,23.6,22.2,23.8,20.6,0.00747,0.0110,0.0330,0.00739,0.00750,0.0292,0.0157,0.00650,0.0405,0.0354,0.229,0.0114,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.7 Mil,41.3 Mil,7.21 Mil,7.27 Mil,43.3 Mil,23.5 Mil,8.01 Mil,39.8 Mil,39.6 Mil,3.28 Mil,7.86 Mil,699,0.300,0.300,0.200,0.400,0.0452,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
2024-10-02 12:36:30,23.3,25.2,21.4,26.2,22.4,30,23.2,23.4,23.0,0.00704,0.0120,0.0331,0.00739,0.00773,0.0269,0.0161,0.00655,0.0396,0.0353,0.228,0.0110,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.8 Mil,41.3 Mil,7.21 Mil,7.28 Mil,43.3 Mil,23.6 Mil,8.01 Mil,39.6 Mil,39.6 Mil,3.28 Mil,7.86 Mil,699,0.300,0.300,0.200,0.400,0.0437,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
2024-10-02 12:36:35,22.8,23.4,22.2,27.9,23.8,32.0,23.6,20.4,26.8,0.00704,0.0110,0.0330,0.00737,0.00732,0.0280,0.0169,0.00701,0.0399,0.0353,0.230,0.0110,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.8 Mil,41.3 Mil,7.21 Mil,7.28 Mil,43.3 Mil,23.7 Mil,8.01 Mil,39.6 Mil,39.6 Mil,3.41 Mil,7.86 Mil,699,0.300,0.300,0.200,0.400,0.0448,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
2024-10-02 12:36:40,23.1,21.6,24.6,24.4,24.4,24.4,22.4,23.6,21.2,0.00691,0.0120,0.0331,0.00602,0.00765,0.0292,0.0169,0.00701,0.0397,0.0356,0.227,0.0114,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.9 Mil,41.3 Mil,7.21 Mil,7.27 Mil,43.3 Mil,23.7 Mil,8.01 Mil,39.6 Mil,39.6 Mil,3.28 Mil,7.86 Mil,699,0.300,0.300,0.200,0.400,0.0444,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
2024-10-02 12:36:45,21.9,19.4,24.4,28.7,30.2,27.2,23.7,24.0,23.4,0.00785,0.0111,0.0330,0.00742,0.00792,0.0280,0.0161,0.00647,0.0397,0.0357,0.228,0.0111,8.17,6,0,0,0,1.19 Bil,1.26 Bil,1.11 Bil,8.01 Bil,8.10 Bil,8.01 Bil,63.0 Mil,8.31 Mil,26.9 Mil,41.3 Mil,7.22 Mil,7.27 Mil,43.3 Mil,23.7 Mil,8.01 Mil,39.6 Mil,39.6 Mil,3.28 Mil,7.86 Mil,699,0.300,0.300,0.200,0.400,0.0436,0,0.600,0.500,0.300,0.400,0.400,0.600,0.900,0.400,0.700,6,0,0,0
