Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,Avg Host Node3 CPU Usage,Host Node3 CPU 0 Usage,Host Node3 CPU 1 Usage,Avg Host Node4 CPU Usage,Host Node4 CPU 0 Usage,Host Node4 CPU 1 Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage,StressNG 3 CPU Usage,StressNG 4 CPU Usage
22.3,22.0,22.6,19.3,18.0,20.6,22.8,25.2,20.4,21.4,20.2,22.6,0.0224,0.033,0.0131,0.0085,0.0762,0.0108,0.00754,0.035,0.0389,0.222,0.0104,7.4,5,25,6,25,1.0,2.0,0.0919,5.0,2.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,55.0,0,0,0,0
19.2,17.6,20.8,21.4,22.4,20.4,19.9,22.6,17.2,18.2,18.8,17.6,0.0237,0.0328,0.013,0.00802,0.106,0.0121,0.00761,0.0349,0.039,0.224,0.0101,7.5,5,23,6,25,0.286,0.429,0.0919,0.714,0.429,0.429,0.571,0.286,0.429,0.429,0.857,0.143,0.429,10.0,0,0,0,0
21.6,25.0,18.2,18.7,20.8,16.6,21.3,17.4,25.2,20.0,17.6,22.4,0.0224,0.0327,0.0128,0.00789,0.125,0.0111,0.0075,0.035,0.0388,0.22,0.00984,7.23,5,21,5,25,0.2,0.6,0.0902,0.4,0.2,0.3,0.2,0.1,0.2,0.1,0.4,0.0,0.4,4.4,0,0,0,0
19.2,14.6,23.8,21.4,20.8,22.0,19.7,20.6,18.8,16.8,13.6,20.0,0.0235,0.0329,0.0133,0.00791,0.145,0.0111,0.00899,0.0348,0.0387,0.221,0.00992,7.09,5,17,5,25,0.1,0.6,0.0901,0.5,0.2,0.3,0.1,0.0,0.3,0.1,0.3,0.1,0.7,5.2,0,0,0,0
21.2,24.2,18.2,19.1,19.4,18.8,21.8,26.2,17.4,19.8,18.8,20.8,0.0224,0.0329,0.0126,0.00843,0.174,0.0111,0.00833,0.0348,0.0387,0.222,0.00971,7.32,5,18,5,25,0.3,0.3,0.0903,0.1,0.5,0.1,0.3,0.4,0.5,0.0,0.3,0.1,0.7,4.8,0,0,0,0
18.6,16.0,21.2,20.4,17.6,23.2,19.5,19.2,19.8,18.8,20.2,17.4,0.0236,0.033,0.0126,0.00771,0.194,0.012,0.00884,0.0346,0.039,0.22,0.00972,7.16,5,20,5,25,0.4,0.4,0.0833,0.2,0.4,0.2,0.3,0.3,0.5,0.1,0.5,0.0,0.6,5.0,0,0,0,0
21.3,23.0,19.6,19.4,24.0,14.8,22.0,21.0,23.0,19.3,20.2,18.4,0.022,0.0329,0.0128,0.00758,0.217,0.0159,0.0074,0.0347,0.0387,0.223,0.00956,7.14,5,16,5,25,0.3,0.5,0.0886,0.3,0.4,0.3,0.1,0.3,0.2,0.2,0.4,0.0,0.5,4.8,0,0,0,0
19.8,23.6,16.0,20.7,22.0,19.4,21.2,23.8,18.6,18.3,16.6,20.0,0.0238,0.0332,0.013,0.00823,0.248,0.0159,0.00807,0.0347,0.0388,0.22,0.00964,7.0,5,16,5,25,0.5,0.3,0.0818,0.2,0.5,0.4,0.1,0.2,0.5,0.1,0.7,0.1,0.2,4.8,0,0,0,0
21.0,20.2,21.8,19.0,19.8,18.2,22.4,26.0,18.8,19.7,16.4,23.0,0.0227,0.0331,0.0126,0.00797,0.27,0.0159,0.00743,0.0345,0.0387,0.22,0.00997,6.94,5,12,5,25,0.8,0.3,0.0815,0.3,0.4,0.6,0.2,0.1,1.0,0.1,1.1,0.2,0.4,6.4,0,0,0,0
18.6,22.8,14.4,20.2,22.0,18.4,20.0,20.6,19.4,17.6,18.2,17.0,0.0239,0.0329,0.0103,0.00796,0.29,0.0149,0.00802,0.0343,0.0388,0.22,0.0102,7.03,5,17,5,25,0.6,0.2,0.0835,0.5,0.3,0.7,0.3,0.1,0.6,0.2,1.0,0.4,0.3,6.0,0,0,0,0
