Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,Avg Host Node3 CPU Usage,Host Node3 CPU 0 Usage,Host Node3 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage,StressNG 3 CPU Usage
23.7,27.0,20.4,27.9,33.2,22.6,23.4,25.3,21.5,0.00705,0.0113,0.033,0.00719,0.00752,0.0768,0.0155,0.00714,0.0396,0.0355,0.23,0.0113,7.48,5,6,6,25,0.0,0.0,0.0,0.4,0.0435,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0,0,0
23.3,21.6,25.0,28.3,32.8,23.8,23.0,21.2,24.8,0.00711,0.0144,0.0327,0.00698,0.0101,0.0942,0.0126,0.0079,0.0396,0.0357,0.228,0.0119,6.89,5,8,6,25,5.8,0.8,0.6,0.0,0.0452,0.6,0.6,0.8,0.4,1.4,0.8,0.2,0.4,0.2,1.0,13.0,0,0,0
23.4,18.6,28.2,28.0,28.0,28.0,23.4,21.2,25.6,0.00645,0.0144,0.0328,0.00688,0.01,0.119,0.0126,0.0067,0.0405,0.0357,0.229,0.0111,6.82,5,11,6,25,3.0,0.6,0.6,0.3,0.0484,0.4,0.1,0.7,0.3,0.7,0.6,0.4,0.6,0.4,0.6,9.3,0,0,0
23.1,27.0,19.2,25.7,22.8,28.6,22.3,26.8,17.8,0.00692,0.0144,0.0327,0.00718,0.00994,0.15,0.0139,0.00671,0.0392,0.0356,0.228,0.0115,6.94,5,20,5,25,0.1,0.7,0.5,0.7,0.0476,0.2,0.3,0.3,0.2,0.2,0.4,0.3,0.6,0.5,0.5,5.5,0,0,0
23.7,23.8,23.6,26.4,29.6,23.2,23.3,25.4,21.2,0.00639,0.0143,0.0327,0.00771,0.0101,0.176,0.0147,0.00733,0.0394,0.0356,0.228,0.012,7.1,6,20,6,25,0.2,1.2,0.3,0.4,0.0494,0.5,0.4,0.0,0.3,0.4,0.3,0.2,0.7,0.3,0.6,5.8,0,0,0
24.0,26.0,22.0,28.0,28.0,28.0,24.3,25.8,22.8,0.00595,0.0152,0.0326,0.00724,0.0101,0.2,0.0112,0.00678,0.0395,0.0356,0.228,0.0115,7.02,6,16,6,25,0.2,0.7,0.1,0.1,0.0495,0.6,0.5,0.1,0.3,0.5,0.2,0.4,0.9,0.5,0.4,5.5,0,0,0
23.9,27.4,20.4,26.0,23.4,28.6,22.2,24.0,20.4,0.0069,0.0143,0.0327,0.00705,0.0103,0.219,0.0112,0.00735,0.0395,0.0356,0.227,0.0116,7.19,6,16,6,25,0.4,0.4,0.2,0.6,0.0396,0.2,0.3,0.3,0.1,0.7,0.3,0.4,0.5,0.5,0.4,5.3,0,0,0
23.5,20.0,27.0,26.6,22.4,30.8,24.7,20.8,28.6,0.00696,0.0152,0.0324,0.0083,0.00977,0.24,0.0113,0.00735,0.0397,0.0352,0.226,0.0119,7.31,6,21,6,25,0.4,0.6,0.4,0.6,0.0397,0.2,0.0,0.3,0.1,0.8,0.2,0.4,0.3,0.1,0.4,4.8,0,0,0
23.5,27.6,19.4,28.1,28.6,27.6,23.7,25.6,21.8,0.00644,0.0142,0.0325,0.00841,0.0107,0.266,0.0113,0.00678,0.0387,0.0353,0.228,0.012,7.32,6,18,6,25,0.2,0.8,0.2,0.2,0.0412,0.5,0.1,0.3,0.3,0.6,0.0,0.2,0.6,0.0,0.3,4.3,0,0,0
23.7,28.4,19.0,27.8,21.8,33.8,24.0,23.0,25.0,0.00664,0.0152,0.0325,0.00861,0.0107,0.294,0.0121,0.00678,0.0395,0.0353,0.23,0.012,7.28,6,15,6,25,0.2,0.9,0.1,0.4,0.0398,0.5,0.2,0.4,0.4,0.8,0.1,0.2,1.2,0.3,0.2,5.9,0,0,0
22.7,21.8,23.6,27.4,22.4,32.4,22.1,21.2,23.0,0.00645,0.0144,0.0324,0.00883,0.0105,0.32,0.0112,0.00681,0.0396,0.0355,0.228,0.0113,7.43,6,21,6,25,0.1,0.7,0.3,0.3,0.0403,0.4,0.2,0.2,0.4,0.8,0.1,0.5,1.2,0.7,0.3,6.2,0,0,0
23.9,21.8,26.0,27.1,31.2,23.0,25.1,23.8,26.4,0.00708,0.0144,0.0328,0.00855,0.00996,0.35,0.012,0.0075,0.0397,0.0356,0.227,0.0113,7.59,6,24,7,25,0.2,0.9,0.2,0.3,0.0429,0.6,0.1,0.2,0.5,0.4,0.2,0.5,0.8,0.6,0.4,5.9,0,0,0
24.4,21.0,27.8,26.5,27.0,26.0,22.7,21.4,24.0,0.00748,0.0144,0.0329,0.00881,0.0106,0.383,0.0112,0.00696,0.0398,0.0357,0.23,0.0111,7.56,6,18,6,25,0.1,0.9,0.2,0.5,0.0413,0.6,0.4,0.2,0.5,0.4,0.3,0.4,0.9,0.4,0.3,6.1,0,0,0
23.6,26.0,21.2,28.3,26.4,30.2,24.1,23.7,24.5,0.00682,0.0157,0.0328,0.0086,0.0106,0.41,0.012,0.00822,0.0388,0.0358,0.228,0.0108,7.54,6,16,6,25,0.2,0.6,0.5,0.4,0.043,0.3,0.9,0.0,0.5,0.4,0.3,0.4,0.6,0.3,0.2,5.6,0,0,0
23.6,19.4,27.8,27.1,30.2,24.0,22.1,18.3,25.9,0.0079,0.0147,0.0327,0.00916,0.0105,0.436,0.0115,0.00771,0.0397,0.0356,0.228,0.0111,7.49,6,16,6,25,0.2,0.5,0.4,0.1,0.0432,0.7,0.7,0.0,0.4,0.6,0.5,0.4,0.7,0.3,0.4,5.9,0,0,0
22.0,18.8,25.2,26.5,28.4,24.6,23.3,20.6,26.0,0.00794,0.0157,0.0329,0.00883,0.0108,0.455,0.0107,0.00772,0.0397,0.0359,0.227,0.0112,7.45,6,11,6,25,0.3,0.8,0.2,0.2,0.042,0.4,0.3,0.0,0.2,0.6,0.3,0.3,0.8,0.3,0.3,5.0,0,0,0
24.2,26.4,22.0,28.6,27.2,30.0,23.2,22.8,23.6,0.0074,0.0146,0.033,0.00922,0.0106,0.482,0.0107,0.00772,0.0398,0.0359,0.229,0.0119,7.52,6,16,6,25,0.6,0.9,0.3,0.3,0.0422,0.4,0.2,0.1,0.2,0.4,0.1,0.1,0.6,0.0,0.4,4.6,0,0,0
23.5,21.0,26.0,26.2,26.6,25.8,23.4,26.2,20.6,0.00696,0.0155,0.0332,0.00772,0.0107,0.499,0.0116,0.00826,0.0396,0.036,0.228,0.0111,7.58,6,17,6,25,0.5,0.6,0.3,0.2,0.0518,0.6,0.3,0.1,0.5,0.3,0.4,0.5,1.1,0.3,0.4,6.1,0,0,0
23.8,24.0,23.6,27.7,23.8,31.6,23.3,22.8,23.8,0.00691,0.0145,0.0333,0.00902,0.0103,0.541,0.0107,0.0076,0.0401,0.0362,0.228,0.0117,7.63,6,17,6,25,0.2,0.6,0.2,0.3,0.0508,0.3,0.4,0.1,0.7,0.2,0.4,0.6,1.3,0.7,0.3,6.3,0,0,0
23.8,21.4,26.2,28.1,27.8,28.4,24.3,21.2,27.4,0.00717,0.0154,0.0332,0.00865,0.0102,0.562,0.0116,0.0076,0.0401,0.0364,0.226,0.0111,7.66,6,20,6,25,0.0,0.5,0.2,0.5,0.0505,0.4,0.4,0.2,0.5,0.2,0.6,0.3,1.3,0.5,0.3,5.9,0,0,0
24.1,21.2,27.0,28.3,25.0,31.6,21.7,19.2,24.2,0.0073,0.0123,0.0337,0.00909,0.00816,0.539,0.0102,0.00671,0.0411,0.0366,0.228,0.0104,5.5,5,0,0,50,0.0,0.0,0.0,0.0,0.0481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
26.3,31.0,21.6,26.5,30.6,22.4,23.4,26.6,20.2,0.00778,0.0115,0.0335,0.00855,0.00819,0.544,0.00943,0.00658,0.0402,0.0367,0.229,0.0103,5.84,5,12,5,50,14.0,2.75,1.75,1.25,0.0463,0.5,1.5,2.0,0.75,0.5,0.5,1.25,2.25,0.75,0.75,30.5,0,0,0
23.1,23.8,22.4,26.6,23.8,29.4,22.2,24.4,20.0,0.00778,0.0106,0.0336,0.00896,0.00806,0.574,0.00943,0.00658,0.04,0.0368,0.227,0.0106,6.17,5,15,6,50,6.22,1.44,1.22,0.889,0.0477,0.556,1.22,1.22,0.333,0.778,0.444,0.667,1.67,0.778,0.778,18.2,0,0,0
24.5,25.4,23.6,26.8,30.4,23.2,24.4,28.4,20.4,0.00676,0.0115,0.0337,0.00895,0.00826,0.605,0.0102,0.00723,0.04,0.0368,0.227,0.0102,6.73,5,19,6,50,0.2,1.1,1.0,0.8,0.0476,0.6,1.1,0.6,0.3,0.8,0.4,0.6,1.0,0.5,1.2,10.2,0,0,0
25.2,22.4,28.0,29.7,26.0,33.4,22.6,21.6,23.6,0.00732,0.0106,0.0337,0.00782,0.00846,0.632,0.00941,0.00774,0.0401,0.0368,0.23,0.00991,6.99,5,22,6,50,0.2,1.7,0.7,0.8,0.0478,0.8,0.9,1.0,0.7,0.7,0.8,0.6,1.1,0.2,1.0,11.2,0,0,0
