Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,checkoutservice CPU Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /,current_rps GET /cart,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage
40.2,37.0,43.4,31.9,28.0,35.8,0.00696,0.0143,0.0344,0.00593,0.00762,2.27,0.0104,0.00718,0.0387,0.0391,0.236,0.0111,6.53,5,17,5,200,42.2,8.4,4.4,3.0,0.0297,3.0,2.2,2.8,2.2,4.4,4.6,3.4,5.8,2.0,5.2,93.6,0,0
36.5,36.6,36.4,33.6,35.4,31.8,0.00856,0.0132,0.0346,0.00731,0.00707,2.38,0.0104,0.00652,0.0387,0.0391,0.233,0.0112,6.75,5,20,5,200,22.0,6.8,3.5,2.5,0.0296,2.7,1.9,2.0,2.4,2.7,3.3,2.6,4.9,1.4,4.3,63.0,0,0
37.3,35.4,39.2,30.7,31.2,30.2,0.00868,0.0144,0.0343,0.00777,0.00768,2.48,0.0104,0.0069,0.0379,0.0391,0.234,0.011,6.98,5,20,6,200,2.2,6.1,2.7,2.6,0.0289,3.2,2.7,2.1,2.6,2.5,2.2,2.4,5.2,1.3,3.7,41.5,0,0
39.2,37.0,41.4,34.8,32.4,37.2,0.00795,0.0132,0.0348,0.00777,0.00734,2.6,0.0113,0.00637,0.039,0.0396,0.23,0.0113,7.16,5,20,6,200,2.1,6.7,3.2,2.9,0.0297,3.2,2.9,2.3,2.5,2.9,2.2,2.6,6.3,2.2,3.6,45.6,0,0
37.1,37.2,37.0,29.0,29.2,28.8,0.00853,0.0132,0.0351,0.00771,0.00723,2.73,0.00971,0.00684,0.039,0.0398,0.233,0.0107,7.22,5,19,6,200,2.5,5.6,3.4,2.8,0.0298,2.2,2.8,2.5,2.9,2.4,1.7,2.3,6.0,2.5,3.7,43.3,0,0
36.7,34.8,38.6,34.0,33.0,35.0,0.00797,0.0143,0.0353,0.00729,0.00743,2.82,0.0106,0.00634,0.0398,0.0399,0.234,0.0103,7.29,5,19,6,200,2.7,4.7,2.6,2.4,0.0292,2.6,3.1,2.5,3.2,2.9,2.3,2.4,5.1,1.7,4.7,42.9,0,0
36.6,34.4,38.8,30.3,28.8,31.8,0.00866,0.0147,0.0354,0.00769,0.00778,3.01,0.0106,0.00759,0.0391,0.0403,0.23,0.0113,7.46,5,21,6,200,1.9,5.0,2.1,1.7,0.0296,2.7,2.7,2.4,3.0,2.9,3.2,2.3,4.3,1.5,5.2,40.9,0,0
37.5,39.0,36.0,33.0,31.0,35.0,0.00866,0.0131,0.0354,0.00727,0.00739,3.09,0.0106,0.00758,0.039,0.0401,0.232,0.0102,7.39,5,21,5,200,1.8,5.2,2.2,2.5,0.0296,2.6,3.0,3.1,3.1,3.1,2.5,2.2,5.3,1.8,4.2,42.6,0,0
33.3,32.8,33.8,32.4,35.8,29.0,0.00753,0.0142,0.035,0.00706,0.00777,3.13,0.00981,0.00758,0.0389,0.0403,0.232,0.0106,7.28,5,19,5,200,2.0,5.5,2.4,3.2,0.0297,2.7,3.8,3.0,2.4,3.3,2.1,3.0,5.7,1.3,4.0,44.4,0,0
32.7,30.2,35.2,33.1,35.6,30.6,0.00751,0.0131,0.0352,0.00708,0.00755,3.24,0.00981,0.00619,0.0389,0.0401,0.233,0.0103,7.31,5,21,5,200,1.9,5.2,2.9,2.3,0.0291,2.7,3.3,3.0,2.5,2.6,2.8,3.0,5.4,1.6,3.5,42.7,0,0
37.3,40.0,34.6,32.3,36.6,28.0,0.008,0.0144,0.0351,0.00753,0.00805,3.31,0.00975,0.00629,0.038,0.0401,0.231,0.0111,7.23,5,20,5,200,1.5,6.1,2.7,2.2,0.0298,3.1,2.3,3.1,3.0,1.7,2.8,2.7,5.3,2.1,3.0,41.6,0,0
33.7,31.2,36.2,34.4,32.4,36.4,0.00743,0.0124,0.0352,0.00757,0.0077,3.45,0.00975,0.00629,0.0398,0.04,0.232,0.0108,7.19,5,18,5,200,1.8,7.5,2.5,3.1,0.0298,2.7,2.4,3.0,3.0,1.9,2.0,2.9,5.2,1.7,3.8,43.5,0,0
35.3,34.2,36.4,31.5,27.4,35.6,0.00743,0.0135,0.0351,0.00748,0.00826,3.51,0.0107,0.00626,0.0388,0.0402,0.229,0.0111,7.18,5,19,5,200,2.4,6.5,2.7,3.2,0.0295,2.1,2.5,2.8,2.0,3.0,2.7,2.6,5.8,1.4,3.4,43.1,0,0
36.3,33.4,39.2,34.4,33.2,35.6,0.00844,0.0125,0.0355,0.0071,0.00775,3.65,0.00994,0.00625,0.0387,0.0405,0.233,0.0115,7.17,5,19,5,200,3.0,4.9,2.5,2.8,0.0294,2.6,2.7,2.5,1.3,2.9,3.5,3.2,6.0,1.5,3.2,42.6,0,0
