Avg Host Node1 CPU Usage,Host Node1 CPU 0 Usage,Host Node1 CPU 1 Usage,Avg Host Node2 CPU Usage,Host Node2 CPU 0 Usage,Host Node2 CPU 1 Usage,Avg Host Node3 CPU Usage,Host Node3 CPU 0 Usage,Host Node3 CPU 1 Usage,Avg Host Node4 CPU Usage,Host Node4 CPU 0 Usage,Host Node4 CPU 1 Usage,currencyservice CPU Usage,emailservice CPU Usage,frontend 1 CPU Usage,frontend 2 CPU Usage,loadgenerator CPU Usage,paymentservice CPU Usage,productcatalogservice CPU Usage,recommendationservice 1 CPU Usage,recommendationservice 2 CPU Usage,redis-cart CPU Usage,shippingservice CPU Usage,Average Response Time,Median Response Time,Current Response Time Percentile 95,Current Response Time Percentile 50,Number of Users,current_rps GET /product/0PUK6V6EV0,current_rps GET /product/1YMWWN1N4O,adservice CPU Usage,current_rps GET /product/2ZYFJ3GM2N,current_rps GET /product/66VCHSJNUP,current_rps GET /product/6E92ZMYYFZ,current_rps GET /product/9SIQT8TOJO,current_rps GET /product/L9ECAV7KIM,current_rps GET /product/LS4PSXUNUM,current_rps GET /product/OLJCESPC7Z,current_rps POST /cart,current_rps POST /cart/checkout,current_rps POST /setCurrency,current_rps Aggregated,StressNG 1 CPU Usage,StressNG 2 CPU Usage,StressNG 3 CPU Usage,StressNG 4 CPU Usage
25.7,28.0,23.4,11.100000000000001,11.8,10.399999999999999,23.4,23.2,23.6,21.5,17.5,25.5,0.0128,0.0334,0.00741,0.00818,0.0839,0.00898,0.00699,0.0368,0.0384,0.226,0.0113,12.4,10,0,0,25,0.0,0.0,0.036,14.6,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3
21.4,20.0,22.8,6.800000000000001,11.8,1.8000000000000007,21.8,25.4,18.2,25.5,30.7,20.3,0.0168,0.0335,0.00741,0.0077,0.11,0.00975,0.00704,0.0367,0.0385,0.224,0.0114,12.1,10,17,10,25,0.25,0.75,0.0342,14.6,0.25,0.25,0.25,1.0,0.75,1.25,1.5,1.0,0.75,15.8,0.955,0.0,0.0,1.3
23.0,23.6,22.4,8.0,7.399999999999999,8.600000000000001,23.0,26.6,19.4,21.6,20.8,22.4,0.0158,0.0336,0.0084,0.00805,0.14,0.00897,0.00693,0.0367,0.0384,0.223,0.0107,11.8,10,17,10,25,0.375,0.625,0.0342,0.125,0.25,0.75,0.125,0.75,0.375,1.0,1.13,0.625,0.75,11.1,0.955,0.0,0.0,1.3
21.9,18.4,25.4,5.600000000000001,0.0,11.2,21.6,21.8,21.4,23.1,20.6,25.6,0.0168,0.0339,0.00821,0.0077,0.16,0.00975,0.00741,0.0369,0.0387,0.225,0.0106,11.6,9,25,9,25,0.4,0.5,0.035,0.3,0.2,0.6,0.1,0.5,0.3,0.7,0.7,0.3,0.5,5.5,0.955,0.0,0.0,0.00022
21.3,20.6,22.0,7.399999999999999,4.800000000000001,10.0,22.8,22.2,23.4,20.6,22.6,18.6,0.0157,0.0337,0.00789,0.00761,0.188,0.00966,0.00676,0.0366,0.0385,0.226,0.0104,11.8,9,25,9,25,0.4,0.5,0.035,0.6,0.2,0.2,0.3,0.6,0.4,0.3,0.6,0.2,0.4,5.2,0.0,0.0,0.0,0.00022
21.9,23.0,20.8,6.800000000000001,7.600000000000001,6.0,21.7,19.6,23.8,21.8,24.4,19.2,0.0173,0.0332,0.00836,0.00755,0.214,0.00887,0.00671,0.0367,0.0383,0.225,0.0105,11.7,9,25,9,25,0.4,0.5,0.034,0.6,0.1,0.3,0.5,0.7,0.1,0.0,0.6,0.3,0.6,5.3,0.0,0.0,0.0,0.0
22.8,20.8,24.8,8.3,4.399999999999999,12.2,23.4,21.0,25.8,22.4,18.4,26.4,0.0164,0.0333,0.00809,0.00789,0.239,0.00963,0.00666,0.0369,0.0381,0.228,0.0104,11.6,9,25,9,25,0.2,0.5,0.0348,0.4,0.1,0.3,0.7,0.3,0.3,0.2,0.8,0.5,0.9,6.1,0.0,0.0,0.0,0.0
23.2,22.0,24.4,8.8,12.399999999999999,5.199999999999999,21.8,23.0,20.6,22.1,21.4,22.8,0.0187,0.0335,0.00863,0.00757,0.261,0.00889,0.00666,0.0367,0.0383,0.225,0.0105,11.8,9,22,10,25,0.3,0.3,0.0348,0.4,0.3,0.1,0.7,0.1,0.3,0.4,0.7,0.2,0.6,5.2,0.0,1.1,0.0,0.0
21.7,21.0,22.4,7.0,3.6000000000000014,10.399999999999999,24.0,21.2,26.8,26.3,27.8,24.8,0.0177,0.0333,0.0082,0.0073,0.288,0.00889,0.00804,0.0368,0.0384,0.226,0.0104,11.8,10,25,11,25,0.3,0.3,0.0339,0.4,0.4,0.1,0.4,0.3,0.1,0.5,0.4,0.0,0.4,4.8,0.0,1.1,0.0,0.0
24.5,20.8,28.2,8.3,11.2,5.399999999999999,22.4,24.0,20.8,20.8,20.8,20.8,0.0177,0.0334,0.0086,0.00646,0.31,0.00881,0.00813,0.0369,0.038,0.227,0.0111,11.8,10,25,10,25,0.2,0.3,0.0347,0.3,0.3,0.4,0.3,0.3,0.2,0.6,0.4,0.0,0.6,5.1,0.74,1.78,0.0,0.0
